1:1:1	الٓر	P	INL|
1:2:1	تِ	N	DEM|LEM:ذا|FS
1:2:2	لْ	P	DIST|SUFF|LEM:ل
1:2:3	كَ	P	ADDR|SUFF|M
1:3:1	ءَايَٰتُ	N	ROOT:أيي|LEM:آيَة|FP|NOM
1:4:1	ٱلْ	P	DET|PREF|LEM:ال
1:4:2	كِتَٰبِ	N	ROOT:كتب|LEM:كِتاب|M|GEN
1:5:1	وَ	P	CONJ|PREF|LEM:و
1:5:2	قُرْءَانٍ	N	PN|ROOT:قرأ|LEM:قُرْءان|M|INDEF|GEN
1:6:1	مُّبِينٍ	N	ACT_PCPL|VF:4|ROOT:بين|LEM:مُبِين|M|INDEF|GEN
2:1:1	رُّبَ	N	LEM:رُب|NOM
2:1:2	مَا	P	PREV|LEM:ما
2:2:1	يَوَدُّ	V	IMPF|VF:1|ROOT:ودد|LEM:وَدَّ|3MS|MOOD:IND
2:3:1	ٱلَّذِينَ	N	REL|LEM:الَّذِي|MP
2:4:1	كَفَرُ	V	PERF|VF:1|ROOT:كفر|LEM:كَفَرَ|3MP
2:4:2	وا۟	N	PRON|SUFF|3MP
2:5:1	لَوْ	P	SUB|LEM:لَو
2:6:1	كَانُ	V	PERF|VF:1|ROOT:كون|LEM:كانَ|FAM:كَان|3MP
2:6:2	وا۟	N	PRON|SUFF|3MP
2:7:1	مُسْلِمِينَ	N	ACT_PCPL|VF:4|ROOT:سلم|LEM:مُسْلِم|MP|ACC
3:1:1	ذَرْ	V	IMPV|VF:1|ROOT:وذر|LEM:يَذَرَ|2MS
3:1:2	هُمْ	N	PRON|SUFF|3MP
3:2:1	يَأْكُلُ	V	IMPF|VF:1|ROOT:أكل|LEM:أَكَلَ|3MP|MOOD:SUBJ
3:2:2	وا۟	N	PRON|SUFF|3MP
3:3:1	وَ	P	CONJ|PREF|LEM:و
3:3:2	يَتَمَتَّعُ	V	IMPF|VF:5|ROOT:متع|LEM:تَمَتَّعَ|3MP|MOOD:SUBJ
3:3:3	وا۟	N	PRON|SUFF|3MP
3:4:1	وَ	P	CONJ|PREF|LEM:و
3:4:2	يُلْهِ	V	IMPF|VF:4|ROOT:لهو|LEM:أَلْهَى|3MS|MOOD:JUS
3:4:3	هِمُ	N	PRON|SUFF|3MP
3:5:1	ٱلْ	P	DET|PREF|LEM:ال
3:5:2	أَمَلُ	N	ROOT:أمل|LEM:أَمَل|M|NOM
3:6:1	فَ	P	REM|PREF|LEM:ف
3:6:2	سَوْفَ	P	FUT|LEM:سَوْف
3:7:1	يَعْلَمُ	V	IMPF|VF:1|ROOT:علم|LEM:عَلِمَ|3MP|MOOD:IND
3:7:2	ونَ	N	PRON|SUFF|3MP
4:1:1	وَ	P	CONJ|PREF|LEM:و
4:1:2	مَآ	P	NEG|LEM:ما
4:2:1	أَهْلَكْ	V	PERF|VF:4|ROOT:هلك|LEM:أَهْلَكَ|1P
4:2:2	نَا	N	PRON|SUFF|1P
4:3:1	مِن	P	P|LEM:مِن
4:4:1	قَرْيَةٍ	N	ROOT:قري|LEM:قَرْيَة|F|INDEF|GEN
4:5:1	إِلَّا	P	RES|LEM:إِلّا
4:6:1	وَ	P	CONJ|PREF|LEM:و
4:6:2	لَ	P	P|PREF|LEM:ل
4:6:3	هَا	N	PRON|3FS
4:7:1	كِتَابٌ	N	ROOT:كتب|LEM:كِتاب|M|INDEF|NOM
4:8:1	مَّعْلُومٌ	N	PASS_PCPL|VF:1|ROOT:علم|LEM:مَعْلُوم|M|INDEF|NOM
5:1:1	مَّا	P	NEG|LEM:ما
5:2:1	تَسْبِقُ	V	IMPF|VF:1|ROOT:سبق|LEM:سَبَقَ|3FS|MOOD:IND
5:3:1	مِنْ	P	P|LEM:مِن
5:4:1	أُمَّةٍ	N	ROOT:أمم|LEM:أُمَّة|FS|INDEF|GEN
5:5:1	أَجَلَ	N	ROOT:أجل|LEM:أَجَل|M|ACC
5:5:2	هَا	N	PRON|SUFF|3FS
5:6:1	وَ	P	CONJ|PREF|LEM:و
5:6:2	مَا	P	NEG|LEM:ما
5:7:1	يَسْتَـْٔخِرُ	V	IMPF|VF:10|ROOT:أخر|LEM:يَسْتَأْخِرُ|3MP|MOOD:IND
5:7:2	ونَ	N	PRON|SUFF|3MP
6:1:1	وَ	P	CONJ|PREF|LEM:و
6:1:2	قَالُ	V	PERF|VF:1|ROOT:قول|LEM:قالَ|3MP
6:1:3	وا۟	N	PRON|SUFF|3MP
6:2:1	يَٰٓ	P	VOC|PREF|LEM:ي
6:2:2	أَيُّ	N	ROOT:أيي|LEM:أَيّ|ACC
6:2:3	هَا	P	ATT|SUFF|LEM:ه
6:3:1	ٱلَّذِى	N	REL|LEM:الَّذِي|MS
6:4:1	نُزِّلَ	V	PERF|VF:2|PASS|ROOT:نزل|LEM:نَزَّلَ|3MS
6:5:1	عَلَيْ	P	P|LEM:عَلَى
6:5:2	هِ	N	PRON|SUFF|3MS
6:6:1	ٱل	P	DET|PREF|LEM:ال
6:6:2	ذِّكْرُ	N	VN|VF:1|ROOT:ذكر|LEM:ذِكْر|M|NOM
6:7:1	إِنَّ	P	ACC|LEM:إِنّ|FAM:إِنّ
6:7:2	كَ	N	PRON|SUFF|2MS
6:8:1	لَ	P	EMPH|PREF|LEM:ل
6:8:2	مَجْنُونٌ	N	PASS_PCPL|VF:1|ROOT:جنن|LEM:مَجْنُون|M|INDEF|NOM
7:1:1	لَّوْ	P	COND|LEM:لَو
7:2:1	مَا	P	NEG|LEM:ما
7:3:1	تَأْتِي	V	IMPF|VF:1|ROOT:أتي|LEM:أَتَى|2MS|MOOD:IND
7:3:2	نَا	N	PRON|SUFF|1P
7:4:1	بِ	P	P|PREF|LEM:ب
7:4:2	ٱلْ	P	DET|PREF|LEM:ال
7:4:3	مَلَٰٓئِكَةِ	N	ROOT:ملك|LEM:مَلَك|MP|GEN
7:5:1	إِن	P	COND|LEM:إِن
7:6:1	كُن	V	PERF|VF:1|ROOT:كون|LEM:كانَ|FAM:كَان|2MS
7:6:2	تَ	N	PRON|SUFF|2MS
7:7:1	مِنَ	P	P|LEM:مِن
7:8:1	ٱل	P	DET|PREF|LEM:ال
7:8:2	صَّٰدِقِينَ	N	ACT_PCPL|VF:1|ROOT:صدق|LEM:صادِق|MP|GEN
8:1:1	مَا	P	NEG|LEM:ما
8:2:1	نُنَزِّلُ	V	IMPF|VF:2|ROOT:نزل|LEM:نَزَّلَ|1P|MOOD:IND
8:3:1	ٱلْ	P	DET|PREF|LEM:ال
8:3:2	مَلَٰٓئِكَةَ	N	ROOT:ملك|LEM:مَلَك|MP|ACC
8:4:1	إِلَّا	P	RES|LEM:إِلّا
8:5:1	بِ	P	P|PREF|LEM:ب
8:5:2	ٱلْ	P	DET|PREF|LEM:ال
8:5:3	حَقِّ	N	ROOT:حقق|LEM:حَقّ|M|GEN
8:6:1	وَ	P	CONJ|PREF|LEM:و
8:6:2	مَا	P	NEG|LEM:ما
8:7:1	كَانُ	V	PERF|VF:1|ROOT:كون|LEM:كانَ|FAM:كَان|3MP
8:7:2	وٓا۟	N	PRON|SUFF|3MP
8:8:1	إِذًا	P	ANS|LEM:إِذًا
8:9:1	مُّنظَرِينَ	N	PASS_PCPL|VF:4|ROOT:نظر|LEM:مُنظَر|MP|ACC
9:1:1	إِنَّ	P	ACC|LEM:إِنّ|FAM:إِنّ
9:1:2	ا	N	PRON|SUFF|1P
9:2:1	نَحْنُ	N	PRON|1P
9:3:1	نَزَّلْ	V	PERF|VF:2|ROOT:نزل|LEM:نَزَّلَ|1P
9:3:2	نَا	N	PRON|SUFF|1P
9:4:1	ٱل	P	DET|PREF|LEM:ال
9:4:2	ذِّكْرَ	N	VN|VF:1|ROOT:ذكر|LEM:ذِكْر|M|ACC
9:5:1	وَ	P	CONJ|PREF|LEM:و
9:5:2	إِنَّ	P	ACC|LEM:إِنّ|FAM:إِنّ
9:5:3	ا	N	PRON|SUFF|1P
9:6:1	لَ	P	P|PREF|LEM:ل
9:6:2	هُۥ	N	PRON|3MS
9:7:1	لَ	P	EMPH|PREF|LEM:ل
9:7:2	حَٰفِظُونَ	N	ACT_PCPL|VF:1|ROOT:حفظ|LEM:حافِظ|MP|NOM
10:1:1	وَ	P	CONJ|PREF|LEM:و
10:1:2	لَ	P	EMPH|PREF|LEM:ل
10:1:3	قَدْ	P	CERT|LEM:قَد
10:2:1	أَرْسَلْ	V	PERF|VF:4|ROOT:رسل|LEM:أَرْسَلَ|1P
10:2:2	نَا	N	PRON|SUFF|1P
10:3:1	مِن	P	P|LEM:مِن
10:4:1	قَبْلِ	N	ROOT:قبل|LEM:قَبْل|GEN
10:4:2	كَ	N	PRON|SUFF|2MS
10:5:1	فِى	P	P|LEM:فِي
10:6:1	شِيَعِ	N	ROOT:شيع|LEM:شِيعَة|MP|GEN
10:7:1	ٱلْ	P	DET|PREF|LEM:ال
10:7:2	أَوَّلِينَ	N	ROOT:أول|LEM:أَوَّل|MP|GEN
11:1:1	وَ	P	CONJ|PREF|LEM:و
11:1:2	مَا	P	NEG|LEM:ما
11:2:1	يَأْتِي	V	IMPF|VF:1|ROOT:أتي|LEM:أَتَى|3MS|MOOD:IND
11:2:2	هِم	N	PRON|SUFF|3MP
11:3:1	مِّن	P	P|LEM:مِن
11:4:1	رَّسُولٍ	N	ROOT:رسل|LEM:رَسُول|M|INDEF|GEN
11:5:1	إِلَّا	P	RES|LEM:إِلّا
11:6:1	كَانُ	V	PERF|VF:1|ROOT:كون|LEM:كانَ|FAM:كَان|3MP
11:6:2	وا۟	N	PRON|SUFF|3MP
11:7:1	بِ	P	P|PREF|LEM:ب
11:7:2	هِۦ	N	PRON|3MS
11:8:1	يَسْتَهْزِءُ	V	IMPF|VF:10|ROOT:هزأ|LEM:اسْتُهْزِئَ|3MP|MOOD:IND
11:8:2	ونَ	N	PRON|SUFF|3MP
12:1:1	كَ	P	P|PREF|LEM:ك
12:1:2	ذَٰ	N	DEM|LEM:ذا|MS
12:1:3	لِ	P	DIST|SUFF|LEM:ل
12:1:4	كَ	P	ADDR|SUFF|M
12:2:1	نَسْلُكُ	V	IMPF|VF:1|ROOT:سلك|LEM:سَلَكَ|1P|MOOD:IND
12:2:2	هُۥ	N	PRON|SUFF|3MS
12:3:1	فِى	P	P|LEM:فِي
12:4:1	قُلُوبِ	N	ROOT:قلب|LEM:قَلْب|FP|GEN
12:5:1	ٱلْ	P	DET|PREF|LEM:ال
12:5:2	مُجْرِمِينَ	N	ACT_PCPL|VF:4|ROOT:جرم|LEM:مُجْرِم|MP|GEN
13:1:1	لَا	P	NEG|LEM:لا
13:2:1	يُؤْمِنُ	V	IMPF|VF:4|ROOT:أمن|LEM:آمَنَ|3MP|MOOD:IND
13:2:2	ونَ	N	PRON|SUFF|3MP
13:3:1	بِ	P	P|PREF|LEM:ب
13:3:2	هِۦ	N	PRON|3MS
13:4:1	وَ	P	CONJ|PREF|LEM:و
13:4:2	قَدْ	P	CERT|LEM:قَد
13:5:1	خَلَتْ	V	PERF|VF:1|ROOT:خلو|LEM:خَلا|3FS
13:6:1	سُنَّةُ	N	ROOT:سنن|LEM:سُنَّة|FS|NOM
13:7:1	ٱلْ	P	DET|PREF|LEM:ال
13:7:2	أَوَّلِينَ	N	ROOT:أول|LEM:أَوَّل|MP|GEN
14:1:1	وَ	P	CONJ|PREF|LEM:و
14:1:2	لَوْ	P	COND|LEM:لَو
14:2:1	فَتَحْ	V	PERF|VF:1|ROOT:فتح|LEM:فَتَحَ|1P
14:2:2	نَا	N	PRON|SUFF|1P
14:3:1	عَلَيْ	P	P|LEM:عَلَى
14:3:2	هِم	N	PRON|SUFF|3MP
14:4:1	بَابًا	N	ROOT:بوب|LEM:باب|M|INDEF|ACC
14:5:1	مِّنَ	P	P|LEM:مِن
14:6:1	ٱل	P	DET|PREF|LEM:ال
14:6:2	سَّمَآءِ	N	ROOT:سمو|LEM:سَماء|F|GEN
14:7:1	فَ	P	CONJ|PREF|LEM:ف
14:7:2	ظَلُّ	V	PERF|VF:1|ROOT:ظلل|LEM:ظَلَّ|3MP
14:7:3	وا۟	N	PRON|SUFF|3MP
14:8:1	فِي	P	P|LEM:فِي
14:8:2	هِ	N	PRON|SUFF|3MS
14:9:1	يَعْرُجُ	V	IMPF|VF:1|ROOT:عرج|LEM:يَعْرُجُ|3MP|MOOD:IND
14:9:2	ونَ	N	PRON|SUFF|3MP
15:1:1	لَ	P	EMPH|PREF|LEM:ل
15:1:2	قَالُ	V	PERF|VF:1|ROOT:قول|LEM:قالَ|3MP
15:1:3	وٓا۟	N	PRON|SUFF|3MP
15:2:1	إِنَّ	P	ACC|LEM:إِنّ|FAM:إِنّ
15:2:2	مَا	P	PREV|LEM:ما
15:3:1	سُكِّرَتْ	V	PERF|VF:2|PASS|ROOT:سكر|LEM:سُكِّرَتْ|3FS
15:4:1	أَبْصَٰرُ	N	ROOT:بصر|LEM:بَصَر|MP|NOM
15:4:2	نَا	N	PRON|SUFF|1P
15:5:1	بَلْ	P	RET|LEM:بَل
15:6:1	نَحْنُ	N	PRON|1P
15:7:1	قَوْمٌ	N	ROOT:قوم|LEM:قَوْم|M|INDEF|NOM
15:8:1	مَّسْحُورُونَ	N	PASS_PCPL|VF:1|ROOT:سحر|LEM:مَسْحُور|MP|NOM
16:1:1	وَ	P	CONJ|PREF|LEM:و
16:1:2	لَ	P	EMPH|PREF|LEM:ل
16:1:3	قَدْ	P	CERT|LEM:قَد
16:2:1	جَعَلْ	V	PERF|VF:1|ROOT:جعل|LEM:جَعَلَ|1P
16:2:2	نَا	N	PRON|SUFF|1P
16:3:1	فِى	P	P|LEM:فِي
16:4:1	ٱل	P	DET|PREF|LEM:ال
16:4:2	سَّمَآءِ	N	ROOT:سمو|LEM:سَماء|F|GEN
16:5:1	بُرُوجًا	N	ROOT:برج|LEM:بُرُوج|MP|INDEF|ACC
16:6:1	وَ	P	CONJ|PREF|LEM:و
16:6:2	زَيَّ	V	PERF|VF:2|ROOT:زين|LEM:زَيَّنَ|1P
16:6:3	نَّٰ	N	PRON|SUFF|1P
16:6:4	هَا	N	PRON|SUFF|3FS
16:7:1	لِ	P	P|PREF|LEM:ل
16:7:2	ل	P	DET|PREF|LEM:ال
16:7:3	نَّٰظِرِينَ	N	ACT_PCPL|VF:1|ROOT:نظر|LEM:ناظِر|MP|GEN
17:1:1	وَ	P	CONJ|PREF|LEM:و
17:1:2	حَفِظْ	V	PERF|VF:1|ROOT:حفظ|LEM:حَفِظَ|1P
17:1:3	نَٰ	N	PRON|SUFF|1P
17:1:4	هَا	N	PRON|SUFF|3FS
17:2:1	مِن	P	P|LEM:مِن
17:3:1	كُلِّ	N	ROOT:كلل|LEM:كُلّ|M|GEN
17:4:1	شَيْطَٰنٍ	N	ROOT:شطن|LEM:شَيْطان|M|INDEF|GEN
17:5:1	رَّجِيمٍ	N	ROOT:رجم|LEM:رَجِيم|MS|INDEF|GEN|ADJ
18:1:1	إِلَّا	P	RES|LEM:إِلّا
18:2:1	مَنِ	N	REL|LEM:مَن
18:3:1	ٱسْتَرَقَ	V	PERF|VF:8|ROOT:سرق|LEM:اسْتَرَقَ|3MS
18:4:1	ٱل	P	DET|PREF|LEM:ال
18:4:2	سَّمْعَ	N	ROOT:سمع|LEM:سَمْع|M|ACC
18:5:1	فَ	P	REM|PREF|LEM:ف
18:5:2	أَتْبَعَ	V	PERF|VF:4|ROOT:تبع|LEM:أَتْبَعَ|3MS
18:5:3	هُۥ	N	PRON|SUFF|3MS
18:6:1	شِهَابٌ	N	ROOT:شهب|LEM:شِهاب|M|INDEF|NOM
18:7:1	مُّبِينٌ	N	ACT_PCPL|VF:4|ROOT:بين|LEM:مُبِين|M|INDEF|NOM
19:1:1	وَ	P	CONJ|PREF|LEM:و
19:1:2	ٱلْ	P	DET|PREF|LEM:ال
19:1:3	أَرْضَ	N	ROOT:أرض|LEM:أَرْض|F|ACC
19:2:1	مَدَدْ	V	PERF|VF:1|ROOT:مدد|LEM:مَدَّ|1P
19:2:2	نَٰ	N	PRON|SUFF|1P
19:2:3	هَا	N	PRON|SUFF|3FS
19:3:1	وَ	P	CONJ|PREF|LEM:و
