1:1:1	حمٓ	P	INL|
2:1:1	وَ	P	P|PREF|LEM:و
2:1:2	ٱلْ	P	DET|PREF|LEM:ال
2:1:3	كِتَٰبِ	N	ROOT:كتب|LEM:كِتاب|M|GEN
2:2:1	ٱلْ	P	DET|PREF|LEM:ال
2:2:2	مُبِينِ	N	ACT_PCPL|VF:4|ROOT:بين|LEM:مُبِين|M|GEN|ADJ
3:1:1	إِنَّ	P	ACC|LEM:إِنّ|FAM:إِنّ
3:1:2	ا	N	PRON|SUFF|1P
3:2:1	جَعَلْ	V	PERF|VF:1|ROOT:جعل|LEM:جَعَلَ|1P
3:2:2	نَٰ	N	PRON|SUFF|1P
3:2:3	هُ	N	PRON|SUFF|3MS
3:3:1	قُرْءَٰنًا	N	PN|ROOT:قرأ|LEM:قُرْءان|M|INDEF|ACC
3:4:1	عَرَبِيًّا	N	ROOT:عرب|LEM:عَرَبِيّ|MS|INDEF|ACC|ADJ
3:5:1	لَّعَلَّ	P	ACC|LEM:لَعَلّ|FAM:إِنّ
3:5:2	كُمْ	N	PRON|SUFF|2MP
3:6:1	تَعْقِلُ	V	IMPF|VF:1|ROOT:عقل|LEM:عَقَلُ|2MP|MOOD:IND
3:6:2	ونَ	N	PRON|SUFF|2MP
4:1:1	وَ	P	CONJ|PREF|LEM:و
4:1:2	إِنَّ	P	ACC|LEM:إِنّ|FAM:إِنّ
4:1:3	هُۥ	N	PRON|SUFF|3MS
4:2:1	فِىٓ	P	P|LEM:فِي
4:3:1	أُمِّ	N	ROOT:أمم|LEM:أُمّ|FS|GEN
4:4:1	ٱلْ	P	DET|PREF|LEM:ال
4:4:2	كِتَٰبِ	N	ROOT:كتب|LEM:كِتاب|M|GEN
4:5:1	لَدَيْ	N	LOC|LEM:لَدَى
4:5:2	نَا	N	PRON|SUFF|1P
4:6:1	لَ	P	EMPH|PREF|LEM:ل
4:6:2	عَلِىٌّ	N	ROOT:علو|LEM:عَلِيّ|MS|INDEF|NOM
4:7:1	حَكِيمٌ	N	ROOT:حكم|LEM:حَكِيم|MS|INDEF|NOM|ADJ
5:1:1	أَ	N	INTG|PREF|LEM:أ
5:1:2	فَ	P	SUP|PREF|LEM:ف
5:1:3	نَضْرِبُ	V	IMPF|VF:1|ROOT:ضرب|LEM:ضَرَبَ|1P|MOOD:IND
5:2:1	عَن	P	P|LEM:عَن
5:2:2	كُمُ	N	PRON|SUFF|2MP
5:3:1	ٱل	P	DET|PREF|LEM:ال
5:3:2	ذِّكْرَ	N	VN|VF:1|ROOT:ذكر|LEM:ذِكْر|M|ACC
5:4:1	صَفْحًا	N	ROOT:صفح|LEM:صَفْح|M|INDEF|ACC
5:5:1	أَن	P	SUB|LEM:أَن
5:6:1	كُن	V	PERF|VF:1|ROOT:كون|LEM:كانَ|FAM:كَان|2MP
5:6:2	تُمْ	N	PRON|SUFF|2MP
5:7:1	قَوْمًا	N	ROOT:قوم|LEM:قَوْم|M|INDEF|ACC
5:8:1	مُّسْرِفِينَ	N	ACT_PCPL|VF:4|ROOT:سرف|LEM:مُسْرِف|MP|ACC|ADJ
6:1:1	وَ	P	CONJ|PREF|LEM:و
6:1:2	كَمْ	N	LEM:كَم|ACC
6:2:1	أَرْسَلْ	V	PERF|VF:4|ROOT:رسل|LEM:أَرْسَلَ|1P
6:2:2	نَا	N	PRON|SUFF|1P
6:3:1	مِن	P	P|LEM:مِن
6:4:1	نَّبِىٍّ	N	ROOT:نبأ|LEM:نَبِيّ|M|INDEF|GEN
6:5:1	فِى	P	P|LEM:فِي
6:6:1	ٱلْ	P	DET|PREF|LEM:ال
6:6:2	أَوَّلِينَ	N	ROOT:أول|LEM:أَوَّل|MP|GEN
7:1:1	وَ	P	CONJ|PREF|LEM:و
7:1:2	مَا	P	NEG|LEM:ما
7:2:1	يَأْتِي	V	IMPF|VF:1|ROOT:أتي|LEM:أَتَى|3MS|MOOD:IND
7:2:2	هِم	N	PRON|SUFF|3MP
7:3:1	مِّن	P	P|LEM:مِن
7:4:1	نَّبِىٍّ	N	ROOT:نبأ|LEM:نَبِيّ|M|INDEF|GEN
7:5:1	إِلَّا	P	RES|LEM:إِلّا
7:6:1	كَانُ	V	PERF|VF:1|ROOT:كون|LEM:كانَ|FAM:كَان|3MP
7:6:2	وا۟	N	PRON|SUFF|3MP
7:7:1	بِ	P	P|PREF|LEM:ب
7:7:2	هِۦ	N	PRON|3MS
7:8:1	يَسْتَهْزِءُ	V	IMPF|VF:10|ROOT:هزأ|LEM:اسْتُهْزِئَ|3MP|MOOD:IND
7:8:2	ونَ	N	PRON|SUFF|3MP
8:1:1	فَ	P	REM|PREF|LEM:ف
8:1:2	أَهْلَكْ	V	PERF|VF:4|ROOT:هلك|LEM:أَهْلَكَ|1P
8:1:3	نَآ	N	PRON|SUFF|1P
8:2:1	أَشَدَّ	N	ROOT:شدد|LEM:أَشَدّ|MS|ACC
8:3:1	مِنْ	P	P|LEM:مِن
8:3:2	هُم	N	PRON|SUFF|3MP
8:4:1	بَطْشًا	N	VN|VF:1|ROOT:بطش|LEM:بَطْش|M|INDEF|ACC
