1:1:1	الٓمٓصٓ	P	INL|
2:1:1	كِتَٰبٌ	N	ROOT:كتب|LEM:كِتاب|M|INDEF|NOM
2:2:1	أُنزِلَ	V	PERF|VF:4|PASS|ROOT:نزل|LEM:أَنزَلَ|3MS
2:3:1	إِلَيْ	P	P|LEM:إِلَى
2:3:2	كَ	N	PRON|SUFF|2MS
2:4:1	فَ	P	REM|PREF|LEM:ف
2:4:2	لَا	P	PRO|LEM:لا
2:5:1	يَكُن	V	IMPF|VF:1|ROOT:كون|LEM:كانَ|FAM:كَان|3MS|MOOD:JUS
2:6:1	فِى	P	P|LEM:فِي
2:7:1	صَدْرِ	N	ROOT:صدر|LEM:صَدْر|M|GEN
2:7:2	كَ	N	PRON|SUFF|2MS
2:8:1	حَرَجٌ	N	ROOT:حرج|LEM:حَرَج|M|INDEF|NOM
2:9:1	مِّنْ	P	P|LEM:مِن
2:9:2	هُ	N	PRON|SUFF|3MS
2:10:1	لِ	P	PRP|PREF|LEM:ل
2:10:2	تُنذِرَ	V	IMPF|VF:4|ROOT:نذر|LEM:أَنذَرَ|2MS|MOOD:SUBJ
2:11:1	بِ	P	P|PREF|LEM:ب
2:11:2	هِۦ	N	PRON|3MS
2:12:1	وَ	P	CONJ|PREF|LEM:و
2:12:2	ذِكْرَىٰ	N	ROOT:ذكر|LEM:ذِكْرَى|F|GEN
2:13:1	لِ	P	P|PREF|LEM:ل
2:13:2	لْ	P	DET|PREF|LEM:ال
2:13:3	مُؤْمِنِينَ	N	ACT_PCPL|VF:4|ROOT:أمن|LEM:مُؤْمِن|MP|GEN
3:1:1	ٱتَّبِعُ	V	IMPV|VF:8|ROOT:تبع|LEM:اتَّبَعَ|2MP
3:1:2	وا۟	N	PRON|SUFF|2MP
3:2:1	مَآ	N	REL|LEM:ما
3:3:1	أُنزِلَ	V	PERF|VF:4|PASS|ROOT:نزل|LEM:أَنزَلَ|3MS
3:4:1	إِلَيْ	P	P|LEM:إِلَى
3:4:2	كُم	N	PRON|SUFF|2MP
3:5:1	مِّن	P	P|LEM:مِن
3:6:1	رَّبِّ	N	ROOT:ربب|LEM:رَبّ|M|GEN
3:6:2	كُمْ	N	PRON|SUFF|2MP
3:7:1	وَ	P	CONJ|PREF|LEM:و
3:7:2	لَا	P	PRO|LEM:لا
3:8:1	تَتَّبِعُ	V	IMPF|VF:8|ROOT:تبع|LEM:اتَّبَعَ|2MP|MOOD:JUS
3:8:2	وا۟	N	PRON|SUFF|2MP
3:9:1	مِن	P	P|LEM:مِن
3:10:1	دُونِ	N	ROOT:دون|LEM:دُون|GEN
3:10:2	هِۦٓ	N	PRON|SUFF|3MS
3:11:1	أَوْلِيَآءَ	N	ROOT:ولي|LEM:وَلِيّ|MP|ACC
3:12:1	قَلِيلًا	N	ROOT:قلل|LEM:قَلِيل|MS|INDEF|ACC|ADJ
3:13:1	مَّا	P	SUP|LEM:ما
3:14:1	تَذَكَّرُ	V	IMPF|VF:5|ROOT:ذكر|LEM:تَذَكَّرَ|2MP|MOOD:IND
3:14:2	ونَ	N	PRON|SUFF|2MP
4:1:1	وَ	P	REM|PREF|LEM:و
4:1:2	كَم	N	LEM:كَم|ACC
4:2:1	مِّن	P	P|LEM:مِن
4:3:1	قَرْيَةٍ	N	ROOT:قري|LEM:قَرْيَة|F|INDEF|GEN
4:4:1	أَهْلَكْ	V	PERF|VF:4|ROOT:هلك|LEM:أَهْلَكَ|1P
4:4:2	نَٰ	N	PRON|SUFF|1P
4:4:3	هَا	N	PRON|SUFF|3FS
4:5:1	فَ	P	CONJ|PREF|LEM:ف
4:5:2	جَآءَ	V	PERF|VF:1|ROOT:جيأ|LEM:جاءَ|3MS
4:5:3	هَا	N	PRON|SUFF|3FS
4:6:1	بَأْسُ	N	ROOT:بأس|LEM:بَأْس|M|NOM
4:6:2	نَا	N	PRON|SUFF|1P
4:7:1	بَيَٰتًا	N	ROOT:بيت|LEM:بَيات|M|INDEF|ACC
4:8:1	أَوْ	P	CONJ|LEM:أَو
4:9:1	هُمْ	N	PRON|3MP
4:10:1	قَآئِلُونَ	N	ACT_PCPL|VF:1|ROOT:قيل|LEM:قائِل|MP|NOM
5:1:1	فَ	P	CONJ|PREF|LEM:ف
5:1:2	مَا	P	NEG|LEM:ما
5:2:1	كَانَ	V	PERF|VF:1|ROOT:كون|LEM:كانَ|FAM:كَان|3MS
5:3:1	دَعْوَىٰ	N	ROOT:دعو|LEM:دَعْوَى|M|NOM
5:3:2	هُمْ	N	PRON|SUFF|3MP
5:4:1	إِذْ	N	T|LEM:إِذ
5:5:1	جَآءَ	V	PERF|VF:1|ROOT:جيأ|LEM:جاءَ|3MS
5:5:2	هُم	N	PRON|SUFF|3MP
5:6:1	بَأْسُ	N	ROOT:بأس|LEM:بَأْس|M|NOM
5:6:2	نَآ	N	PRON|SUFF|1P
5:7:1	إِلَّآ	P	RES|LEM:إِلّا
5:8:1	أَن	P	SUB|LEM:أَن
5:9:1	قَالُ	V	PERF|VF:1|ROOT:قول|LEM:قالَ|3MP
5:9:2	وٓا۟	N	PRON|SUFF|3MP
5:10:1	إِنَّ	P	ACC|LEM:إِنّ|FAM:إِنّ
5:10:2	ا	N	PRON|SUFF|1P
5:11:1	كُ	V	PERF|VF:1|ROOT:كون|LEM:كانَ|FAM:كَان|1P
5:11:2	نَّا	N	PRON|SUFF|1P
5:12:1	ظَٰلِمِينَ	N	ACT_PCPL|VF:1|ROOT:ظلم|LEM:ظالِم|MP|ACC
6:1:1	فَ	P	REM|PREF|LEM:ف
6:1:2	لَ	P	EMPH|PREF|LEM:ل
6:1:3	نَسْـَٔلَ	V	IMPF|VF:1|ROOT:سأل|LEM:سَأَلَ|1P|MOOD:IND
6:1:4	نَّ	P	EMPH|SUFF|LEM:ن
6:2:1	ٱلَّذِينَ	N	REL|LEM:الَّذِي|MP
6:3:1	أُرْسِلَ	V	PERF|VF:4|PASS|ROOT:رسل|LEM:أَرْسَلَ|3MS
6:4:1	إِلَيْ	P	P|LEM:إِلَى
6:4:2	هِمْ	N	PRON|SUFF|3MP
6:5:1	وَ	P	CONJ|PREF|LEM:و
6:5:2	لَ	P	EMPH|PREF|LEM:ل
6:5:3	نَسْـَٔلَ	V	IMPF|VF:1|ROOT:سأل|LEM:سَأَلَ|1P|MOOD:IND
6:5:4	نَّ	P	EMPH|SUFF|LEM:ن
6:6:1	ٱلْ	P	DET|PREF|LEM:ال
6:6:2	مُرْسَلِينَ	N	PASS_PCPL|VF:4|ROOT:رسل|LEM:مُرْسَل|MP|ACC
7:1:1	فَ	P	CONJ|PREF|LEM:ف
7:1:2	لَ	P	EMPH|PREF|LEM:ل
7:1:3	نَقُصَّ	V	IMPF|VF:1|ROOT:قصص|LEM:قَصَّ|1P|MOOD:IND
7:1:4	نَّ	P	EMPH|SUFF|LEM:ن
7:2:1	عَلَيْ	P	P|LEM:عَلَى
7:2:2	هِم	N	PRON|SUFF|3MP
7:3:1	بِ	P	P|PREF|LEM:ب
7:3:2	عِلْمٍ	N	ROOT:علم|LEM:عِلْم|M|INDEF|GEN
7:4:1	وَ	P	REM|PREF|LEM:و
7:4:2	مَا	P	NEG|LEM:ما
7:5:1	كُ	V	PERF|VF:1|ROOT:كون|LEM:كانَ|FAM:كَان|1P
7:5:2	نَّا	N	PRON|SUFF|1P
7:6:1	غَآئِبِينَ	N	ACT_PCPL|VF:1|ROOT:غيب|LEM:غائِب|MP|ACC
8:1:1	وَ	P	CONJ|PREF|LEM:و
8:1:2	ٱلْ	P	DET|PREF|LEM:ال
8:1:3	وَزْنُ	N	ROOT:وزن|LEM:وَزْن|M|NOM
8:2:1	يَوْمَ	N	T|ROOT:يوم|LEM:يَوْم
8:2:2	ئِذٍ	N	T|LEM:إِذ
8:3:1	ٱلْ	P	DET|PREF|LEM:ال
8:3:2	حَقُّ	N	ROOT:حقق|LEM:حَقّ|M|NOM
8:4:1	فَ	P	REM|PREF|LEM:ف
8:4:2	مَن	N	COND|LEM:مَن
8:5:1	ثَقُلَتْ	V	PERF|VF:1|ROOT:ثقل|LEM:ثَقُلَتْ|3FS
8:6:1	مَوَٰزِينُ	N	ROOT:وزن|LEM:مِيزان|MP|NOM
8:6:2	هُۥ	N	PRON|SUFF|3MS
8:7:1	فَ	P	RSLT|PREF|LEM:ف
8:7:2	أُو۟لَٰٓئِ	N	DEM|LEM:ذا|P
8:7:3	كَ	P	ADDR|SUFF|M
8:8:1	هُمُ	N	PRON|3MP
8:9:1	ٱلْ	P	DET|PREF|LEM:ال
8:9:2	مُفْلِحُونَ	N	ACT_PCPL|VF:4|ROOT:فلح|LEM:مُفْلِح|MP|NOM
9:1:1	وَ	P	CONJ|PREF|LEM:و
9:1:2	مَنْ	N	COND|LEM:مَن
9:2:1	خَفَّتْ	V	PERF|VF:1|ROOT:خفف|LEM:خَفَّتْ|3FS
9:3:1	مَوَٰزِينُ	N	ROOT:وزن|LEM:مِيزان|MP|NOM
9:3:2	هُۥ	N	PRON|SUFF|3MS
9:4:1	فَ	P	RSLT|PREF|LEM:ف
9:4:2	أُو۟لَٰٓئِ	N	DEM|LEM:ذا|P
9:4:3	كَ	P	ADDR|SUFF|M
9:5:1	ٱلَّذِينَ	N	REL|LEM:الَّذِي|MP
9:6:1	خَسِرُ	V	PERF|VF:1|ROOT:خسر|LEM:خَسِرَ|3MP
9:6:2	وٓا۟	N	PRON|SUFF|3MP
9:7:1	أَنفُسَ	N	ROOT:نفس|LEM:نَفْس|FP|ACC
9:7:2	هُم	N	PRON|SUFF|3MP
9:8:1	بِ	P	P|PREF|LEM:ب
