1:1:1	بَرَآءَةٌ	N	ROOT:برأ|LEM:بَراءَة|F|INDEF|NOM
1:2:1	مِّنَ	P	P|LEM:مِن
1:3:1	ٱللَّهِ	N	PN|ROOT:أله|LEM:اللَّه|GEN
1:4:1	وَ	P	CONJ|PREF|LEM:و
1:4:2	رَسُولِ	N	ROOT:رسل|LEM:رَسُول|M|GEN
1:4:3	هِۦٓ	N	PRON|SUFF|3MS
1:5:1	إِلَى	P	P|LEM:إِلَى
1:6:1	ٱلَّذِينَ	N	REL|LEM:الَّذِي|MP
1:7:1	عَٰهَد	V	PERF|VF:3|ROOT:عهد|LEM:عاهَدَ|2MP
1:7:2	تُّم	N	PRON|SUFF|2MP
1:8:1	مِّنَ	P	P|LEM:مِن
1:9:1	ٱلْ	P	DET|PREF|LEM:ال
1:9:2	مُشْرِكِينَ	N	ACT_PCPL|VF:4|ROOT:شرك|LEM:مُشْرِك|MP|GEN
2:1:1	فَ	P	REM|PREF|LEM:ف
2:1:2	سِيحُ	V	IMPV|VF:1|ROOT:سيح|LEM:سِيحُ|2MP
2:1:3	وا۟	N	PRON|SUFF|2MP
2:2:1	فِى	P	P|LEM:فِي
2:3:1	ٱلْ	P	DET|PREF|LEM:ال
2:3:2	أَرْضِ	N	ROOT:أرض|LEM:أَرْض|F|GEN
2:4:1	أَرْبَعَةَ	N	ROOT:ربع|LEM:أَرْبَعَة|F|ACC
2:5:1	أَشْهُرٍ	N	ROOT:شهر|LEM:شَهْر|MP|INDEF|GEN
2:6:1	وَ	P	CONJ|PREF|LEM:و
2:6:2	ٱعْلَمُ	V	IMPV|VF:1|ROOT:علم|LEM:عَلِمَ|2MP
2:6:3	وٓا۟	N	PRON|SUFF|2MP
2:7:1	أَنَّ	P	ACC|LEM:أَنّ|FAM:إِنّ
2:7:2	كُمْ	N	PRON|SUFF|2MP
2:8:1	غَيْرُ	N	ROOT:غير|LEM:غَيْر|M|NOM
2:9:1	مُعْجِزِى	N	ACT_PCPL|VF:4|ROOT:عجز|LEM:مُعْجِز|MP|NOM
2:10:1	ٱللَّهِ	N	PN|ROOT:أله|LEM:اللَّه|GEN
2:11:1	وَ	P	CONJ|PREF|LEM:و
2:11:2	أَنَّ	P	ACC|LEM:أَنّ|FAM:إِنّ
